Project,Package,Class,Smell,Description,File,Status,Justification
group04,com.group4.backend.dto,CampaignResponse,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 27.,/builds/.../CampaignResponse.java,Not Refactored,False positive — getters/setters for each campaign field required by the API contract; the count reflects the richness of the domain object not a modularization defect.
group04,com.group4.backend.dto,InfluencerProfileRequest,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 29.,/builds/.../InfluencerProfileRequest.java,Not Refactored,False positive — 29 public methods are Java Bean accessors for the influencer profile's fields; splitting the request DTO would require multiple partial-update endpoints adding API complexity for no cohesion gain.
group04,com.group4.backend.dto,InvitationDetailResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../InvitationDetailResponse.java,Not Refactored,False positive — InvitationDetailResponse is used as a response body in InvitationController; Designite's static analysis does not follow Spring's @ResponseBody serialization path.
group04,com.group4.backend.dto,InvitationDetailResponse,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 31.,/builds/.../InvitationDetailResponse.java,Not Refactored,False positive — Java Bean getters/setters for all invitation detail fields; same rationale as other DTO classes.
group04,com.group4.backend.dto,NegotiationRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../NegotiationRequest.java,Not Refactored,False positive — NegotiationRequest is deserialized from JSON request bodies by Spring MVC at runtime; static analysis cannot trace Spring's @RequestBody deserialization chain.
group04,com.group4.backend.dto,PaymentResponse,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 29.,/builds/.../PaymentResponse.java,Not Refactored,False positive — Java Bean accessors for all payment fields; splitting would fragment the payment response object into incoherent partial views.
group04,com.group4.backend.dto,RegisterResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../RegisterResponse.java,Not Refactored,False positive — used as a response type in the registration flow; not directly referenced by name in other source files so static analysis flags it as unused.
group04,com.group4.backend.dto,RespondRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../RespondRequest.java,Not Refactored,False positive — RespondRequest is bound from JSON request bodies via Spring MVC's @RequestBody; runtime binding is not visible to static analysis.
group04,com.group4.backend.dto,InvitationResponse,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 31.,/builds/.../InvitationResponse.java,Not Refactored,False positive — Java Bean accessors for all invitation response fields; same rationale as other DTO classes.
group04,com.group4.backend.dto,InfluencerProfileResponse,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 45.,/builds/.../InfluencerProfileResponse.java,Not Refactored,False positive — the 45 methods include getters/setters for all profile fields plus embedded rating summary fields (averageRating / totalRatings / recentReviews). Splitting this response would break the single-request profile fetch API contract relied upon by the frontend.
group04,com.group4.backend.dto,DtoBranchCoverageTest,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — DtoBranchCoverageTest is a JUnit 5 outer test class whose responsibility is hosting @Nested inner test classes; outer classes in this pattern intentionally hold no test methods of their own.
group04,com.group4.backend.dto,DtoBranchCoverageTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — test class discovered and executed by the JUnit test runner; not referenced by name in application code.
group04,com.group4.backend.dto,DtoBranchCoverageTest.SignupRequestAllowedRole,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested inner test class; the class body holds @Test methods that Designite may not count as "method implementations" since they are annotations-driven.
group04,com.group4.backend.dto,DtoBranchCoverageTest.SignupRequestAllowedRole,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — @Nested test classes are discovered at runtime by JUnit 5's class scanning; they are not referenced directly in code.
group04,com.group4.backend.dto,DtoBranchCoverageTest.SignupRequestAccessors,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale as SignupRequestAllowedRole.
group04,com.group4.backend.dto,DtoBranchCoverageTest.SignupRequestAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — @Nested test class executed by JUnit 5 at test runtime.
group04,com.group4.backend.dto,DtoBranchCoverageTest.MultiArgConstructors,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.dto,DtoBranchCoverageTest.MultiArgConstructors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — @Nested test class executed by JUnit 5 at test runtime.
group04,com.group4.backend.dto,DtoBranchCoverageTest.BooleanFlagAccessors,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.dto,DtoBranchCoverageTest.BooleanFlagAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — @Nested test class executed by JUnit 5 at test runtime.
group04,com.group4.backend.dto,DtoBranchCoverageTest.ReflectiveBeanRoundTrips,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.dto,DtoBranchCoverageTest.ReflectiveBeanRoundTrips,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../DtoBranchCoverageTest.java,Not Refactored,False positive — @Nested test class executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,BudgetRange,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../BudgetRange.java,Not Refactored,False positive — BudgetRange is a Java enum; enums with only value constants and no additional methods are the canonical way to model a fixed set of named values in Java. The tool misidentifies enum constants as "data members".
group04,com.group4.backend.model,Campaign,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 29.,/builds/.../Campaign.java,Not Refactored,False positive — JPA entity classes follow the Java Bean convention with a getter and setter per field; the 29 methods directly map to the entity's domain attributes. Splitting a JPA entity breaks the ORM mapping and is not a modularization improvement.
group04,com.group4.backend.model,CampaignGoal,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../CampaignGoal.java,Not Refactored,False positive — Java enum with only named constants; same rationale as BudgetRange.
group04,com.group4.backend.model,CampaignStatus,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../CampaignStatus.java,Not Refactored,False positive — Java enum; same rationale as BudgetRange and CampaignGoal.
group04,com.group4.backend.model,CollaborationInvitation,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 31.,/builds/.../CollaborationInvitation.java,Not Refactored,False positive — JPA entity; getters and setters for each invitation field. Same rationale as Campaign.
group04,com.group4.backend.model,InvitationStatus,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../InvitationStatus.java,Not Refactored,False positive — Java enum; same rationale as BudgetRange.
group04,com.group4.backend.model,Payment,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 29.,/builds/.../Payment.java,Not Refactored,False positive — JPA entity with Java Bean accessors; same rationale as Campaign and CollaborationInvitation.
group04,com.group4.backend.model,PaymentStatus,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../PaymentStatus.java,Not Refactored,False positive — Java enum; same rationale as BudgetRange.
group04,com.group4.backend.model,Role,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../Role.java,Not Refactored,False positive — Java enum used to represent user roles; same rationale as all other enum smells.
group04,com.group4.backend.model,BrandProfile,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 33.,/builds/.../BrandProfile.java,Not Refactored,False positive — JPA entity; 33 public methods are getters and setters for the brand's domain attributes. Same rationale as Campaign.
group04,com.group4.backend.model,InfluencerProfile,Insufficient Modularization,The class has bloated interface (large number of public methods). Total public methods: 41.,/builds/.../InfluencerProfile.java,Not Refactored,False positive — JPA entity with the largest number of domain fields; same rationale as other entities. Splitting InfluencerProfile into sub-entities would require additional ORM joins and added complexity.
group04,com.group4.backend.model,ModelBranchCoverageTest,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 outer test class container for @Nested test classes; intentionally holds no test methods at the top level.
group04,com.group4.backend.model,ModelBranchCoverageTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — test class executed by the JUnit 5 runner at build time.
group04,com.group4.backend.model,ModelBranchCoverageTest.PendingSignupExpiry,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested inner test class; same rationale as DtoBranchCoverageTest nested classes.
group04,com.group4.backend.model,ModelBranchCoverageTest.PendingSignupExpiry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,ModelBranchCoverageTest.PasswordResetTokenExpiry,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.model,ModelBranchCoverageTest.PasswordResetTokenExpiry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,ModelBranchCoverageTest.CampaignCallbacks,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.model,ModelBranchCoverageTest.CampaignCallbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,ModelBranchCoverageTest.PaymentCallbacks,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.model,ModelBranchCoverageTest.PaymentCallbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,ModelBranchCoverageTest.InfluencerProfileCallbacks,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.model,ModelBranchCoverageTest.InfluencerProfileCallbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,ModelBranchCoverageTest.BrandProfileCallbacks,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.model,ModelBranchCoverageTest.BrandProfileCallbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,ModelBranchCoverageTest.CollaborationInvitationCallbacks,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.model,ModelBranchCoverageTest.CollaborationInvitationCallbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.model,ModelBranchCoverageTest.InfluencerRatingCallbacks,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — JUnit 5 @Nested test class; same rationale.
group04,com.group4.backend.model,ModelBranchCoverageTest.InfluencerRatingCallbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../ModelBranchCoverageTest.java,Not Refactored,False positive — @Nested test class; executed by JUnit 5 at test runtime.
group04,com.group4.backend.service,PaymentService,Feature Envy,The tool detected a instance of this smell because getDelayedPayments is more interested in members of the type: PaymentRepository.,/builds/.../PaymentService.java,Not Refactored,False positive — a service class is architecturally expected to delegate persistence operations to its own repository; heavy use of PaymentRepository inside PaymentService is the correct layered-architecture pattern not a Feature Envy defect.
group04,com.group4.backend.service,InfluencerProfileService,Feature Envy,The tool detected a instance of this smell because toResponse is more interested in members of the type: RatingService.,/builds/.../InfluencerProfileService.java,Refactored,Added a getRatingSummary(Long influencerId, int recentLimit) method and a RatingSummary record to RatingService. The toResponse method now makes a single getRatingSummary call instead of three separate RatingService calls, moving the rating-aggregation responsibility to where the rating knowledge lives and also reducing database round-trips from 3 to 1.
group04,com.group4.backend.testsupport,SliceTestApplication,Unnecessary Abstraction,The class contains only a few data members without any method implementation.,/builds/.../SliceTestApplication.java,Not Refactored,False positive — SliceTestApplication is a minimal @SpringBootApplication annotated class used as the application entry point for Spring slice tests; it intentionally has no methods as its sole purpose is to provide a restricted Spring context for test slices.
group04,com.group4.backend.testsupport,SliceTestApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused.,/builds/.../SliceTestApplication.java,Not Refactored,False positive — used as the @BootstrapWith application class in Spring slice test configurations; referenced by the test framework at runtime not by name in code.
